"DATETIME_UTC","LATITUDE","LONGITUDE","ALTITUDE","HEADING","SPEED","VISIBILTY_NM","BEAUFORT","CLOUD_CODE","GLARE_L","GLARE_R","QUALITY_L","QUALITY_R","EFFORT_COMMENTS","SIGHTING_NUMBER","SPCODE","GROUP_SIZE","CALVES","ACTUAL_HEADING","OBSERVER","OBS_POSITION","ANGLE","CUE","B1_FINAL_CODE","B2_FINAL_CODE","B3_FINAL_CODE","B4_FINAL_CODE","B5_FINAL_CODE","PHOTOS","SIGHTING_COMMENTS","EDIT1","EDIT2","EDIT3"
"2021-05-12 16:30:16","42.34669","-70.67762","",355.2,138,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 16:30:40","42.36333","-70.67953","",355.1,139.6,"","","","","","","","","1","eg","1","","","pd","L","","","54","","","","","","opportunistic high skim","","",""
"2021-05-12 16:38:17","42.57593","-70.68030","",90.3,121.6,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 16:38:43","42.57550","-70.66133","",93.2,109.7,"35","2","1","1","1","e","e","on watch beg rwmr fi","","","","","","","","","","","","","","","","","","",""
"2021-05-12 16:39:26","42.57494","-70.63210","",90.4,108.3,"","","","","","","","","2","eg","1","","360","pd","L","32","1","","","","","","","ct","","",""
"2021-05-12 16:39:39","42.57492","-70.62453","",90.1,111.6,"","","","","","","","break s2","","","","","","","","","","","","","","","","","","",""
"2021-05-12 16:47:37","42.57460","-70.62089","",42.7,105.5,"","","","","","","","","3","eg","1","","","tc","C","","","","","","","","","ap s2 pale","","",""
"2021-05-12 16:53:33","42.57098","-70.61613","",80.7,93.9,"","","","","","","","","4","eg","1","","","tc","C","","","","","","","","","fin est thru 4666","","",""
"2021-05-12 16:55:18","42.57549","-70.54680","",88.2,115.8,"","","","","","","","res rwmr fi 90secs late","","","","","","","","","","","","","","","","","","",""
"2021-05-12 17:03:34","42.57520","-70.21343","",90.3,109.6,"","2.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 17:09:45","42.56130","-69.97303","",177.3,104.3,"","","","1","1","e","e","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 17:11:15","42.52470","-69.98409","",262.6,88,"35","2.4","1","1","1","e","e","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 17:11:54","42.52294","-70.00642","",267.4,93.8,"","","","","","","","","5","eg","1","","","alo","R","45","4","","","","","","","estimated dec sen on cross leg","","",""
"2021-05-12 17:12:05","42.52317","-70.01283","",276.8,93,"","","","","","","","break s5","","","","","","","","","","","","","","","","","","",""
"2021-05-12 17:14:47","42.51807","-69.99214","",168.3,114.2,"","","","","","","","","6","eg","1","","","tc","C","","","54","","","","","","ap s5 sub feed Porche?","","",""
"2021-05-12 17:21:38","42.51437","-69.98630","",53.2,105.2,"","","","","","","","","7","eg","1","","","tc","C","","","54","","","","","","fin est thru 4678","","",""
"2021-05-12 17:22:48","42.52397","-70.01257","",267.1,92.6,"","","","","","","","res rwmr fi","","","","","","","","","","","","","","","","","","",""
"2021-05-12 17:33:16","42.52581","-70.40234","",269.9,103,"","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 17:37:41","42.52558","-70.57451","",269.7,102.9,"","","3","","","","","clouded quickly","","","","","","","","","","","","","","","","","","",""
"2021-05-12 17:44:18","42.50414","-70.81153","",173.4,113.6,"","1.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 17:52:21","42.47541","-70.53752","",90.5,104.8,"","2","2","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:02:35","42.47538","-70.13680","",90.4,105.8,"","2.8","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:05:45","42.47461","-70.00816","",99.3,110.9,"","","","","","","","","8","mn","1","","","pd","L","","2","","","","","","","lw from trk 10s late","","",""
"2021-05-12 18:05:54","42.47400","-70.00201","",96.6,109.4,"","","","","","","","break s8","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:07:07","42.48306","-70.01770","",245.8,99.2,"","","","","","","","","9","mn","1","","","pd","L","","","","","","","","","ap s8","","",""
"2021-05-12 18:08:13","42.47235","-69.99510","",96,110.3,"","","","","","","","res rwmr fi 20s late","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:08:49","42.45921","-69.98759","",199.8,101,"","3.2","","1","2","e","e","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:10:36","42.42481","-70.00545","",270.4,91.1,"","2.8","","2","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:15:00","42.42569","-70.16853","",269.4,105.7,"","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:15:33","42.42566","-70.19037","",270.3,106.3,"","","","","","","","","10","ba","1","","","pd","L","75","","","","","","","","","","",""
"2021-05-12 18:22:18","42.42580","-70.45822","",269.8,102.4,"","","","","","","","","11","mn","1","","","pd","L","84","","","","","","","","","","",""
"2021-05-12 18:22:19","42.42580","-70.45950","",269.8,102.4,"","","","","","","","","12","mn","1","","","pd","L","86","","","","","","","","","","",""
"2021-05-12 18:22:21","42.42580","-70.46078","",269.8,102.4,"","","","","","","","","13","mn","1","","","pd","L","86","","","","","","","","","","",""
"2021-05-12 18:22:49","42.42579","-70.47806","",269.9,102.3,"","","","","","","","","14","mn","1","","","pd","L","87","","","","","","","","","","",""
"2021-05-12 18:23:49","42.42575","-70.51575","",270,102.2,"","1.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:26:47","42.42563","-70.63107","",269.9,104.8,"","","3","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:30:29","42.42527","-70.77659","",269.6,101.6,"","","","","","","","","15","ba","1","","","alo","R","75","","","","","","","","psi","","",""
"2021-05-12 18:36:42","42.36436","-70.81483","",106.6,108.5,"","1","2","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:39:14","42.37166","-70.71033","",83,108.5,"","","","","","","","","16","mn","1","","","alo","R","84","2","","","","","","","psi","","",""
"2021-05-12 18:45:17","42.37572","-70.47318","",90,104.5,"","","","","","","","","17","mn","3","","","pd","L","87","","","","","","","","resight","","",""
"2021-05-12 18:45:18","42.37572","-70.47188","",90,104.5,"","","","","","","","","18","mn","2","","","pd","L","85","","","","","","","","resight","","",""
"2021-05-12 18:45:20","42.37572","-70.47057","",89.9,104.6,"","","","","","","","","19","mn","2","","","pd","L","87","","","","","","","","resight","","",""
"2021-05-12 18:46:41","42.37574","-70.41863","",90.2,106.4,"","2","1","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:51:12","42.37557","-70.23772","",90.1,105.7,"","2.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:52:52","42.37551","-70.17194","",90.3,105.9,"","","","","","","","","20","lw","1","","","tc","C","","3","","","","","","","has dorsal 45s late","","",""
"2021-05-12 18:57:58","42.36441","-69.97945","",173.8,104.4,"","2.5","1","","2","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 18:59:32","42.32521","-69.98843","",264.9,96,"","2.2","","","1","","","","","","","","","","","","","","","","","","","","","",""
"2021-05-12 19:03:07","42.32573","-70.12406","",268.7,102.5,"","","","","","","","","21","ba","1","","180","alo","R","65","1","","","","","","","","","",""
"2021-05-12 19:04:43","42.32553","-70.18542","",270.1,101.8,"","","","","","","","","22","ba","1","","260","pd","L","73","1","","","","","","","","","",""
